grid,peak,average
1,383.0781,248.15103333333332
2,885.6094,364.11391612903225
3,853.6562,421.8628774193547
4,913.0,368.8749774193549
5,872.0312,385.9384967741936
6,932.5781,598.0181419354838
7,872.9844,462.2348774193551
8,968.0312,375.5332580645161
9,810.25,303.0599677419355
10,810.4062,321.6098774193548
11,865.375,344.26766774193544
12,946.375,388.4672193548387
13,938.8594,408.5403258064517
14,913.75,491.80191935483856
15,904.4062,734.6668483870967
16,954.7656,725.3946612903228
17,867.9844,559.3311451612905
18,965.9844,466.9672645161291
19,946.6406,539.1532419354837
20,980.5,804.2989000000002
21,975.7656,836.1053516129035
22,1002.0156,840.2827419354838
23,944.6094,741.0645032258066
24,938.125,645.4006999999998
25,811.4062,464.97682580645153
26,1015.6719,970.7807645161295
27,1008.0938,996.4728064516127
28,1010.6406,915.0116258064512
29,1011.9375,814.2620870967743
30,936.6094,400.4692322580645
31,1002.5469,993.086696774194
32,1019.9531,1014.1471741935479
33,1021.7969,929.5988000000002
34,1001.8594,832.2586000000002
35,989.9219,943.2837677419352
36,974.8438,685.3896032258065
37,973.5781,770.3261000000001
38,968.1719,586.6653516129036
39,959.875,818.8629161290324
40,975.5938,538.9107935483868
41,904.8594,422.38054193548385
42,940.1406,479.19455161290324
43,934.8281,450.3926451612901
44,959.6719,421.10837741935467
45,949.75,486.09273548387114
46,974.9844,464.8976741935484
47,989.6719,846.9838935483873
48,957.75,706.8936483870966
49,877.0781,461.91131290322613
