grid,peak,average
1,78.0938,73.57815806451617
2,101.8438,100.07260645161297
3,103.0938,102.03630645161296
4,109.0156,94.24747741935488
5,101.6406,86.75905161290324
6,104.5469,99.77823225806449
7,106.9062,95.49542903225802
8,106.7656,100.80239677419355
9,101.0625,90.00402903225806
10,101.9375,92.06755161290323
11,100.875,100.22983870967742
12,109.0156,107.64917741935487
13,110.375,109.24093548387097
14,110.4688,99.28982258064515
15,105.0469,104.69508064516124
16,105.7656,101.47879999999995
17,104.1094,103.29285806451608
18,106.0938,94.91030000000003
19,101.5781,89.68799354838713
20,101.2969,87.96973548387092
21,108.5312,107.41630967741928
22,113.7656,109.30593225806452
23,104.2344,102.49245161290321
24,105.6562,99.90270322580648
25,104.3125,91.01007096774194
26,100.0781,96.62600967741936
27,103.4531,99.22124516129037
28,97.125,83.61494193548391
29,98.0,84.79485806451613
30,99.5156,85.72730322580645
31,97.75,84.51208387096774
32,95.3281,84.01208387096774
33,94.8438,92.81152258064522
34,97.2344,85.24143548387096
35,91.3906,89.7212967741936
36,92.2969,81.65021935483871
37,93.75,91.0750935483871
38,98.5312,96.33870967741935
39,98.0156,81.001
40,97.1719,84.0741129032258
41,90.7031,80.56552258064518
42,92.2812,77.24998387096774
43,87.9062,83.95159677419358
44,92.4688,79.30748064516132
45,87.125,74.46271290322584
46,88.125,75.63256774193547
47,95.5781,81.07357741935483
48,88.1406,60.59174838709679
49,95.4844,92.43145806451611
50,97.6094,84.5902322580645
