grid,peak,average
1,72.2,69.87297297297296
2,99.2,95.95135135135129
3,101.0,80.40270270270265
4,106.5,98.88378378378384
5,104.7,84.69459459459463
6,103.4,102.0567567567568
7,106.2,73.12432432432433
8,101.7,100.52432432432427
9,105.0,70.28648648648645
10,106.4,101.88918918918912
11,109.6,103.0621621621621
12,104.9,67.11351351351352
13,113.1,111.43513513513507
14,109.1,107.62432432432429
15,106.5,102.82432432432438
16,107.8,106.06486486486493
17,107.1,106.24054054054047
18,106.2,103.15675675675674
19,103.5,77.98918918918919
20,107.0,106.10270270270271
21,111.5,67.57027027027026
22,106.4,102.8567567567567
23,109.3,60.82972972972973
24,103.5,86.5567567567568
25,102.1,100.72162162162158
26,104.5,46.07837837837841
27,102.4,100.77027027027032
28,104.0,32.09729729729728
29,90.0,29.927027027027027
30,92.6,36.03513513513515
31,92.0,47.3189189189189
32,91.2,41.205405405405386
33,88.8,50.42162162162165
34,90.2,46.14594594594599
35,89.8,45.794594594594614
36,88.5,46.21621621621617
37,90.7,52.44594594594598
38,92.9,44.10810810810815
39,94.0,54.816216216216176
40,97.0,53.251351351351374
41,90.6,59.251351351351346
42,92.4,49.28378378378377
43,91.4,33.27027027027025
44,87.7,46.216216216216246
45,90.6,85.01891891891891
46,90.3,48.04054054054056
47,92.3,50.26756756756757
48,93.6,83.63783783783778
49,89.5,84.93783783783783
50,93.2,88.64594594594587
