grid,peak,average
1,69.4,66.82432432432437
2,96.3,94.31081081081086
3,101.9,94.41891891891886
4,102.7,98.82432432432431
5,105.8,102.4567567567568
6,107.7,105.73513513513505
7,107.0,82.31891891891892
8,104.6,102.6972972972973
9,112.2,110.47027027027035
10,109.1,107.79189189189184
11,108.6,102.84054054054054
12,108.9,106.77567567567571
13,109.6,106.80000000000007
14,108.1,106.17837837837831
15,106.8,80.87567567567574
16,102.9,99.12162162162163
17,105.4,103.27567567567571
18,106.1,89.29729729729722
19,100.9,99.89189189189192
20,102.6,63.540540540540526
21,98.8,67.27837837837832
22,103.4,94.77567567567573
23,101.3,77.38918918918918
24,108.0,100.7459459459459
25,107.1,78.99459459459463
26,96.1,94.19189189189184
27,102.0,46.613513513513546
28,87.5,48.732432432432404
29,85.6,44.55945945945948
30,88.4,50.35675675675678
31,92.4,56.11351351351353
32,91.9,49.36486486486484
33,82.7,46.743243243243256
34,91.8,62.043243243243225
35,86.7,37.77027027027024
36,86.1,54.364864864864906
37,88.3,74.89459459459455
38,86.7,47.74324324324326
39,87.1,56.648648648648674
40,95.2,64.84864864864866
41,92.0,48.27567567567565
42,93.0,61.4567567567567
43,93.1,76.3621621621622
44,89.2,46.840540540540566
45,90.2,50.82432432432436
46,86.7,73.62432432432438
47,99.6,96.62972972972968
48,98.8,57.38378378378381
49,90.8,49.44324324324321
50,92.8,56.78108108108113
