grid_number,runtime
1,0.937473
2,0.1710020000000001
3,0.37514400000000014
4,0.24231500000000006
5,0.352268
6,0.300519
7,0.27472299999999983
8,0.22418400000000016
9,0.3561609999999993
10,0.1705160000000001
11,0.3054009999999998
12,0.3293789999999994
13,0.26185800000000015
14,0.3820079999999999
15,0.3995799999999994
16,0.26714199999999977
17,0.2798069999999999
18,0.26542699999999897
19,0.306044
20,0.2599489999999989
21,0.35204599999999964
22,0.16469199999999873
23,0.40719700000000003
24,0.31725899999999996
25,0.3079180000000008
26,0.18718600000000052
27,0.3516339999999989
28,0.3279140000000016
29,0.35653300000000065
30,0.35710700000000095
31,0.34041799999999967
32,0.305612
33,0.3395210000000013
34,0.22973399999999877
35,0.3723729999999996
36,0.1883140000000001
37,0.28482899999999844
38,0.22504799999999747
39,0.20933299999999733
40,0.34943799999999925
41,0.39952900000000113
42,0.24881899999999746
43,0.3049950000000017
44,0.32734299999999905
45,0.3456869999999981
46,0.40622199999999964
47,0.34494699999999767
48,0.3427119999999988
49,0.23451199999999872
50,0.3297099999999986
