grid_number,runtime
1,0.8496790000000001
2,0.1783260000000002
3,0.1904650000000001
4,0.17079900000000015
5,0.1967939999999997
6,0.1762299999999999
7,0.18698699999999935
8,0.1693819999999997
9,0.17408
10,0.1969120000000002
11,0.19572900000000004
12,0.19508999999999954
13,0.17131000000000007
14,0.1887749999999997
15,0.17680899999999955
16,0.22249600000000047
17,0.17233700000000063
18,0.187481
19,0.17735900000000093
20,0.17669599999999974
21,0.17174599999999884
22,0.16991699999999987
23,0.19353699999999918
24,0.16906200000000027
25,0.1953560000000003
26,0.1714929999999999
27,0.20440900000000006
28,0.20422100000000043
29,0.17845799999999912
30,0.16903699999999944
31,0.17565199999999948
32,0.17493799999999915
33,0.16956400000000116
34,0.19550100000000015
35,0.17377600000000015
36,0.16993399999999959
37,0.1766880000000004
38,0.17025100000000037
39,0.16859099999999927
40,0.18801500000000004
41,0.16963600000000056
42,0.17123199999999983
43,0.18097700000000216
44,0.17581200000000052
45,0.1953130000000023
46,0.1838450000000016
47,0.17424199999999956
48,0.2031729999999996
49,0.17094500000000323
50,0.17520499999999828
