grid_number,runtime
1,0.9885219999999999
2,0.16043399999999997
3,0.16456899999999974
4,0.17944499999999985
5,0.15970800000000018
6,0.16354899999999972
7,0.177041
8,0.16252599999999973
9,0.17196600000000029
10,0.1628829999999999
11,0.1719969999999993
12,0.16073999999999966
13,0.1724609999999993
14,0.22800500000000046
15,0.17389600000000005
16,0.16767399999999988
17,0.18791700000000056
18,0.17712499999999842
19,0.16544500000000006
20,0.21828700000000012
21,0.16046099999999974
22,0.16078100000000006
23,0.16141999999999967
24,0.18671400000000027
25,0.18234999999999957
26,0.16354000000000113
27,0.1695240000000009
28,0.16216099999999933
29,0.1765920000000012
30,0.1848099999999988
31,0.16801399999999944
32,0.17312699999999914
33,0.1682649999999999
34,0.18077599999999983
35,0.18648500000000112
36,0.16688500000000062
37,0.17538199999999904
38,0.1621050000000004
39,0.18171600000000154
40,0.17450799999999944
41,0.17260500000000079
42,0.19594800000000134
43,0.16493299999999778
44,0.197890000000001
45,0.18630800000000036
46,0.16807700000000025
47,0.18004000000000175
48,0.1644900000000007
49,0.16941200000000123
50,0.16703800000000157
