grid_number,runtime
1,0.9741089999999999
2,0.1700149999999998
3,0.17826399999999998
4,0.16982399999999975
5,0.18001200000000006
6,0.17097499999999988
7,0.17630100000000004
8,0.17816500000000035
9,0.18811800000000023
10,0.1708879999999997
11,0.1804130000000006
12,0.17304999999999993
13,0.17065299999999972
14,0.1873339999999999
15,0.18850099999999959
16,0.1729030000000007
17,0.1837200000000001
18,0.17275200000000002
19,0.173883
20,0.1726239999999999
21,0.17835900000000038
22,0.1718440000000001
23,0.18697099999999978
24,0.18939100000000053
25,0.17354999999999876
26,0.17110500000000073
27,0.1701069999999998
28,0.1740750000000002
29,0.206923999999999
30,0.1737599999999997
31,0.18517100000000042
32,0.18031000000000041
33,0.18061600000000055
34,0.17121600000000115
35,0.1780260000000009
36,0.16910399999999903
37,0.1717840000000006
38,0.17783299999999969
39,0.16977699999999984
40,0.17399099999999912
41,0.1814979999999995
42,0.16960699999999918
43,0.1816690000000012
44,0.17290700000000037
45,0.18026699999999884
46,0.1830759999999998
47,0.17426799999999965
48,0.1732680000000002
49,0.17205600000000132
50,0.19096599999999953
