grid,peak,average
1,67.6,58.667741935483896
2,91.0,76.54193548387097
3,81.3,42.47096774193547
4,86.4,43.8
5,86.6,42.335483870967735
6,86.2,47.593548387096746
7,84.2,72.41612903225803
8,84.3,69.24838709677424
9,82.5,46.04516129032258
10,85.3,73.18387096774194
11,87.0,76.63548387096773
12,85.6,74.8645161290323
13,85.9,73.41612903225806
14,88.3,77.04838709677419
15,86.7,68.86129032258069
16,84.3,71.83870967741936
17,88.8,77.6516129032258
18,85.2,72.96129032258062
19,84.1,72.00967741935483
20,86.9,74.40000000000002
21,91.7,76.46451612903225
22,86.7,74.11290322580643
23,91.1,78.63548387096772
24,86.5,84.38387096774193
25,91.1,61.25806451612904
26,87.5,86.86774193548388
27,93.8,80.10322580645162
28,88.8,68.53870967741933
29,82.0,69.99999999999999
30,86.5,50.03548387096772
31,86.6,44.62258064516132
32,86.5,49.5225806451613
33,87.3,83.9032258064516
34,92.2,78.6032258064516
35,89.6,77.16451612903224
36,83.0,80.7612903225806
37,91.1,87.26129032258065
38,85.7,70.24838709677418
39,90.6,75.61935483870963
40,90.1,77.56774193548382
41,90.5,89.29354838709678
42,87.7,49.09677419354839
43,83.6,47.21290322580645
44,86.0,82.79677419354839
45,90.7,79.25806451612907
46,86.4,73.89032258064518
47,81.3,73.1290322580645
48,92.1,80.64193548387094
49,91.1,90.32258064516124
50,95.5,82.97741935483874
