grid,peak,average
1,69.6,63.31612903225805
2,96.6,95.12258064516124
3,100.5,98.87419354838711
4,104.1,93.17096774193544
5,99.0,95.23870967741935
6,98.1,96.75161290322582
7,99.3,97.85161290322586
8,100.5,99.30645161290322
9,100.2,99.33870967741935
10,99.5,99.02903225806452
11,103.5,102.61612903225806
12,103.6,103.59999999999994
13,105.0,104.90967741935484
14,105.4,105.283870967742
15,105.6,105.53548387096768
16,106.0,105.34516129032257
17,103.1,102.77096774193555
18,101.3,100.72258064516129
19,99.9,99.82258064516135
20,100.6,99.86129032258064
21,103.1,102.0870967741935
22,103.7,103.50645161290322
23,103.8,103.80000000000005
24,103.8,103.80000000000005
25,105.1,104.27419354838706
26,100.2,99.71612903225801
27,103.8,103.09032258064522
28,104.2,104.19999999999995
29,104.8,104.80000000000005
30,105.2,105.19999999999995
31,105.2,105.19999999999995
32,106.1,105.70967741935482
33,104.7,103.42903225806458
34,108.2,107.06451612903221
35,108.7,107.7354838709677
36,101.1,99.00645161290318
37,101.3,100.87419354838714
38,104.9,103.99677419354843
39,105.4,103.88387096774198
40,100.7,98.87096774193544
41,99.9,99.24193548387103
42,100.0,86.78709677419354
43,94.5,93.60967741935484
44,96.6,95.75806451612901
45,100.9,99.22580645161291
46,102.2,99.7387096774193
47,101.6,100.48387096774188
48,103.5,95.36129032258064
49,100.4,98.76451612903222
50,99.6,91.89354838709679
