grid,peak,average
1,68.8,52.03870967741938
2,87.9,75.89677419354841
3,99.7,82.50645161290326
4,91.5,36.62258064516131
5,89.0,39.103225806451626
6,88.3,42.82258064516131
7,87.8,72.44838709677416
8,87.3,51.40000000000002
9,85.0,46.3967741935484
10,87.9,76.02903225806453
11,90.1,75.25161290322573
12,86.1,83.29999999999994
13,91.4,75.50967741935487
14,91.1,79.20000000000002
15,91.2,45.68064516129034
16,87.5,51.193548387096754
17,85.1,56.97741935483868
18,90.9,77.09032258064518
19,86.8,72.81612903225802
20,87.7,56.74193548387096
21,93.9,78.27741935483876
22,89.8,75.0032258064516
23,90.9,78.95806451612904
24,93.4,79.31290322580648
25,90.3,77.69354838709677
26,84.8,51.364516129032246
27,85.6,65.30967741935484
28,84.2,57.593548387096796
29,89.5,76.51612903225808
30,89.4,73.25161290322573
31,88.8,52.63225806451616
32,92.7,78.52903225806453
33,88.4,55.25483870967739
34,88.4,78.4225806451613
35,88.7,59.54193548387095
36,89.8,79.62580645161292
37,87.2,78.37419354838705
38,92.1,78.82258064516124
39,91.8,79.16774193548386
40,95.5,80.64516129032255
41,93.2,91.39032258064513
42,95.0,82.08709677419357
43,94.0,91.37741935483874
44,94.4,82.11935483870971
45,90.0,78.87741935483871
46,88.8,80.0516129032258
47,85.4,58.129032258064534
48,94.5,82.6258064516129
49,94.8,92.0258064516129
50,96.3,82.98064516129034
