grid,peak,average
1,71.4,69.63243243243248
2,71.7,52.86756756756755
3,60.8,57.843243243243265
4,62.8,60.20270270270269
5,70.7,68.84594594594593
6,69.7,67.05945945945948
7,66.3,49.61351351351354
8,94.1,82.57027027027031
9,86.1,65.31891891891887
10,63.0,60.20810810810811
11,65.3,61.245945945945955
12,62.8,57.754054054054045
13,68.5,66.92162162162163
14,71.4,70.17297297297303
15,113.7,112.11081081081072
16,111.3,109.12162162162167
17,105.7,104.3432432432432
18,102.4,101.61351351351357
19,103.6,102.25405405405398
20,103.1,83.6405405405405
21,81.7,79.22432432432437
22,116.6,116.06756756756756
23,116.9,115.42432432432429
24,106.0,78.2918918918919
25,77.3,69.84054054054056
26,74.2,72.99729729729728
27,74.2,67.81621621621616
28,70.9,70.23513513513518
29,111.1,110.82432432432428
30,111.4,101.99729729729725
31,99.1,97.37837837837844
32,102.3,101.25675675675681
33,105.8,104.42702702702695
34,98.7,92.52432432432437
35,74.2,62.92972972972973
36,109.5,107.76486486486488
37,103.0,101.99459459459462
38,101.6,100.3783783783783
39,100.9,100.13513513513517
40,101.2,99.73513513513507
41,100.5,61.10540540540539
42,64.5,62.45135135135135
43,104.3,103.48378378378388
44,110.8,109.1297297297298
45,109.9,95.72702702702709
46,63.3,61.34054054054052
47,62.3,60.13513513513514
48,63.7,62.605405405405406
49,68.5,67.13783783783785
50,107.5,107.1918918918919
51,107.5,104.11351351351361
52,106.9,105.87837837837844
53,111.4,110.145945945946
54,108.0,107.69999999999999
55,106.6,103.2567567567567
56,103.0,94.26756756756751
57,110.0,107.91621621621623
58,110.7,108.754054054054
59,109.5,108.19189189189188
60,112.4,111.61891891891896
61,112.6,99.3756756756756
62,99.2,69.56756756756751
63,66.9,65.33243243243243
64,104.9,104.04864864864868
65,105.5,104.11351351351354
66,107.8,107.0324324324325
67,109.3,108.65135135135144
68,111.3,110.36486486486493
69,106.0,104.86486486486487
70,106.0,104.87837837837837
71,104.1,103.49999999999994
72,109.7,108.24324324324316
73,111.3,109.25945945945939
74,93.7,92.69999999999996
75,81.7,75.5378378378378
76,75.9,74.78648648648654
77,75.8,75.02162162162165
78,117.2,114.19459459459463
79,117.9,116.59729729729733
80,112.4,111.29189189189192
81,109.3,102.13783783783775
82,102.9,101.71351351351356
83,103.1,102.30540540540537
84,101.7,101.10540540540534
85,117.5,76.40810810810815
86,76.8,61.21081081081077
87,64.7,46.31081081081086
88,63.5,61.94324324324323
89,68.1,66.8513513513513
90,72.3,70.96486486486488
91,72.3,72.08108108108111
92,109.4,102.74594594594596
93,93.0,91.35135135135135
94,92.3,91.25675675675681
95,94.4,77.29729729729723
96,61.9,60.5
97,69.5,67.60540540540539
98,75.9,74.40000000000005
99,113.9,113.16216216216219
100,113.9,112.58648648648654
101,110.1,106.89729729729723
102,107.2,99.13513513513519
103,98.6,97.74054054054048
104,101.7,100.89999999999993
105,101.7,82.16486486486491
106,102.5,101.2756756756757
107,102.5,84.76486486486492
108,96.1,94.09459459459454
109,95.7,89.84324324324324
110,69.0,67.74054054054054
111,69.5,68.9054054054054
112,70.0,69.5108108108108
113,107.5,106.37837837837837
114,107.5,106.0351351351352
115,108.4,107.09189189189195
116,92.1,51.67567567567568
117,61.0,58.15945945945945
118,60.3,59.15135135135135
119,60.4,49.74324324324327
120,96.0,81.39459459459462
121,79.7,63.59729729729736
122,65.1,64.63513513513513
123,65.1,64.40000000000003
124,67.2,65.28108108108113
125,68.2,63.178378378378376
126,57.0,54.98108108108107
127,100.0,98.64594594594595
128,101.8,100.90270270270277
129,101.8,97.67027027027021
130,101.1,99.79729729729723
131,100.0,90.0
132,88.2,71.73783783783787
133,66.8,66.56216216216218
134,100.5,97.7297297297298
135,103.0,101.47027027027026
136,105.9,105.19459459459465
137,110.1,109.01891891891886
138,114.1,112.48648648648646
139,102.4,66.91891891891895
140,63.9,62.74054054054054
141,107.6,106.05405405405399
142,114.0,112.1891891891892
143,113.3,112.35405405405412
144,113.3,111.39459459459461
145,111.5,109.80810810810819
146,109.3,85.97567567567572
147,85.2,49.60540540540538
148,104.1,102.20270270270265
149,111.5,109.74054054054055
150,116.2,114.86486486486478
151,118.0,117.50000000000003
152,119.8,119.41081081081089
153,119.8,116.71081081081081
154,117.1,114.1594594594594
155,111.3,109.9918918918918
156,107.7,105.29459459459454
157,71.5,70.44594594594595
158,69.8,48.36216216216212
159,58.5,56.45135135135135
160,61.4,59.491891891891925
161,66.0,64.9054054054054
162,101.9,82.03513513513512
163,84.6,60.5027027027027
164,61.4,59.97027027027031
165,68.5,66.8027027027027
166,72.2,71.28108108108106
167,72.2,67.31081081081076
168,70.9,68.91081081081086
169,99.8,95.41351351351345
170,101.4,99.98648648648654
171,102.7,101.42432432432437
172,101.4,81.61621621621626
