grid,peak,average
1,71.8,69.40000000000002
2,81.8,79.44594594594597
3,81.6,57.916216216216256
4,61.8,59.205405405405365
5,59.7,51.73243243243247
6,99.5,86.67297297297291
7,64.3,62.96486486486487
8,65.0,62.68378378378379
9,62.3,58.53513513513513
10,62.3,60.68378378378379
11,108.0,106.35675675675677
12,109.6,105.62972972972966
13,104.6,51.41891891891897
14,54.7,50.2648648648649
15,64.6,62.17297297297293
16,110.5,97.54324324324317
17,93.0,58.37297297297299
18,69.6,67.41351351351345
19,74.5,73.4108108108108
20,79.3,77.95675675675679
21,117.8,116.14054054054061
22,116.8,115.08648648648655
23,107.7,106.20810810810804
24,107.7,102.45405405405413
25,104.0,103.30810810810812
26,117.4,116.16756756756756
27,117.1,114.23783783783782
28,81.6,79.19729729729725
29,70.7,69.2594594594594
30,71.7,68.93513513513513
31,106.3,105.5378378378379
32,105.8,102.91891891891885
33,102.9,95.58918918918913
34,100.5,98.97027027027026
35,100.2,82.02162162162162
36,117.4,109.29459459459463
37,102.9,79.55675675675676
38,78.3,76.57567567567571
39,79.2,77.67567567567563
40,76.1,74.42702702702705
41,115.3,113.44594594594602
42,113.9,107.82162162162157
43,106.8,90.02702702702696
44,62.6,60.45945945945941
45,66.9,65.78648648648655
46,109.6,108.05405405405399
47,110.7,108.7135135135135
48,108.5,104.98648648648654
49,86.7,65.9864864864865
50,64.6,62.51081081081081
51,99.5,98.82162162162163
52,106.3,104.38378378378387
53,103.0,101.18648648648644
54,107.0,105.53513513513512
55,105.9,105.00540540540548
56,111.6,106.52972972972967
57,70.5,68.84054054054053
58,74.2,72.84054054054049
59,74.2,71.35675675675675
60,78.1,76.42972972972969
61,118.2,117.49189189189181
62,118.2,100.36756756756755
63,93.2,91.98918918918912
64,95.2,94.25945945945939
65,95.6,82.43243243243245
66,113.1,109.36486486486496
67,113.9,112.73783783783792
68,114.2,114.07567567567561
69,118.9,117.74324324324327
70,118.9,110.97837837837832
71,108.9,107.56756756756752
72,110.5,109.21351351351356
73,111.7,109.99729729729721
74,113.2,112.6648648648648
75,113.5,112.76486486486488
76,115.8,112.23513513513512
77,75.7,74.8675675675676
78,76.3,75.90270270270274
79,80.2,79.0378378378378
80,79.3,78.64594594594598
81,109.4,108.21081081081076
82,103.7,102.66216216216209
83,106.3,105.28378378378386
84,109.1,108.22432432432429
85,110.4,106.38108108108113
86,100.3,98.6378378378379
87,100.3,51.20270270270273
88,70.1,67.19189189189186
89,71.0,63.48108108108107
90,65.8,63.18648648648649
91,98.5,87.47837837837842
92,84.8,83.99459459459464
93,90.4,88.94324324324329
94,97.1,94.22702702702696
95,74.9,74.5432432432433
96,112.8,111.1567567567568
97,109.3,105.72162162162168
98,94.9,93.77567567567571
99,100.4,99.10000000000005
100,100.4,73.15135135135128
101,101.8,101.49729729729738
102,105.9,104.83783783783788
103,105.9,93.24594594594595
104,99.2,97.8648648648648
105,100.8,73.59459459459464
