grid,peak,average
1,72.4,70.82162162162167
2,111.8,107.98378378378386
3,108.1,105.90540540540535
4,110.5,100.69729729729733
5,111.9,110.26216216216221
6,112.0,96.21081081081087
7,111.1,108.71081081081081
8,117.9,114.78108108108113
9,106.2,81.5540540540541
10,100.7,91.71891891891897
11,108.8,106.73513513513521
12,113.0,108.80540540540534
13,115.7,114.39189189189182
14,115.9,67.36216216216212
15,103.3,92.15945945945946
16,107.6,68.79189189189194
17,106.2,104.45945945945938
18,102.1,69.08648648648645
19,105.2,103.31891891891887
20,106.0,100.37837837837839
21,111.2,109.41621621621613
22,110.0,103.85135135135143
23,111.7,110.50810810810803
24,114.4,113.42432432432439
25,119.9,118.75675675675676
26,120.1,116.94864864864873
27,115.9,114.88918918918922
28,112.0,109.36216216216224
29,109.6,109.29189189189194
30,115.3,114.5270270270271
31,118.1,117.19729729729728
32,118.4,114.66486486486482
33,114.2,103.19189189189181
34,110.1,108.50540540540534
35,112.5,110.89459459459465
36,111.3,109.70540540540549
37,114.9,113.67837837837844
38,115.5,114.5
39,118.3,115.36486486486487
40,119.2,117.92972972972967
41,116.6,113.49729729729721
42,116.5,110.32702702702699
43,113.0,112.39189189189189
44,111.6,110.42162162162155
45,110.5,109.12702702702703
46,112.3,111.66486486486495
47,115.4,114.81621621621626
48,117.6,116.57297297297292
49,117.7,114.5
50,113.3,71.57837837837843
