grid,peak,average
1,55.8,55.091891891891855
2,62.4,61.99459459459464
3,64.5,64.22972972972973
4,70.2,69.68648648648646
5,69.5,69.5
6,70.9,70.59189189189195
7,70.2,70.19999999999999
8,71.0,70.8
9,70.3,70.30000000000001
10,70.9,70.73783783783787
11,72.6,72.18378378378372
12,75.9,75.79189189189195
13,75.9,75.90000000000005
14,75.9,75.90000000000005
15,75.9,75.90000000000005
16,75.9,75.90000000000005
17,75.9,75.90000000000005
18,76.0,75.97297297297297
19,76.0,76.0
20,76.0,76.0
21,76.0,76.0
22,76.0,76.0
23,76.0,76.0
24,75.0,75.0
25,75.0,75.0
26,74.0,74.0
27,74.0,74.0
28,74.0,74.0
29,75.8,75.80000000000003
30,76.0,76.0
31,76.0,76.0
32,76.0,76.0
33,76.0,76.0
34,76.0,76.0
35,76.0,76.0
36,76.0,76.0
37,76.0,76.0
38,76.0,76.0
39,76.0,76.0
40,76.0,76.0
41,75.1,75.09999999999995
42,75.1,75.09999999999995
43,74.1,74.09999999999995
44,74.1,74.09999999999995
45,74.1,74.09999999999995
46,76.1,70.05945945945948
47,67.4,67.21621621621627
48,67.5,67.47837837837838
49,68.1,67.93783783783779
50,68.5,68.41351351351352
