grid,peak,average
1,205.8,191.84324324324336
2,312.3,306.98648648648634
3,301.8,293.6648648648648
4,314.7,307.4783783783785
5,314.9,310.8081081081079
6,309.6,304.010810810811
7,316.7,307.98108108108124
8,310.3,302.5432432432431
9,302.9,297.73513513513495
10,303.3,298.3783783783783
11,315.9,307.53513513513496
12,320.8,314.1756756756755
13,323.9,318.98378378378357
14,330.7,325.54054054054075
15,318.1,317.13243243243267
16,311.8,308.1135135135137
17,310.2,306.1459459459461
18,312.6,308.06756756756744
19,317.3,312.2270270270268
20,311.1,297.63513513513533
21,304.1,297.0054054054056
22,306.9,299.9243243243242
23,294.0,240.59189189189175
24,297.0,291.4405405405405
25,298.2,283.3837837837838
26,291.8,280.8189189189188
27,300.5,284.04594594594596
28,300.4,293.24864864864844
29,295.6,261.4945945945946
30,273.3,242.54864864864862
31,284.1,271.6810810810812
32,303.8,288.362162162162
33,301.6,291.5432432432434
34,298.2,284.5108108108108
35,300.5,294.1081081081081
36,298.0,292.8864864864865
37,302.3,293.9621621621621
38,300.9,286.4027027027025
39,292.0,286.6783783783784
40,283.4,212.57297297297285
41,304.1,296.9594594594595
42,299.8,175.15405405405417
43,295.3,286.87297297297283
44,299.7,293.88108108108116
45,303.5,296.1918918918919
46,282.2,173.8135135135134
47,277.1,236.554054054054
48,276.3,149.46486486486492
49,274.0,136.9000000000001
50,259.5,140.1162162162163
