grid,peak,average
1,55.9,55.14864864864869
2,63.0,62.43783783783783
3,65.7,65.32432432432432
4,71.0,70.5945945945946
5,70.3,70.30000000000001
6,71.1,70.89999999999995
7,70.4,65.89189189189194
8,67.0,66.61621621621622
9,67.0,67.0
10,67.2,67.19999999999999
11,67.6,67.53513513513509
12,70.6,70.51891891891887
13,70.8,70.75675675675679
14,71.5,71.33783783783784
15,71.5,71.5
16,71.5,71.38648648648649
17,69.4,69.40000000000005
18,69.7,69.6189189189189
19,70.4,70.2486486486487
20,70.4,70.40000000000005
21,70.4,70.40000000000005
22,70.4,70.40000000000005
23,70.5,70.44054054054054
24,68.9,68.90000000000005
25,69.3,69.1918918918919
26,69.5,69.45675675675676
27,69.5,69.5
28,69.6,69.59999999999995
29,70.6,70.51891891891887
30,71.2,71.03783783783781
31,71.2,71.19999999999997
32,71.2,71.19999999999997
33,71.2,71.19999999999997
34,71.5,71.42432432432432
35,71.5,71.5
36,71.5,71.5
37,71.5,71.5
38,71.5,71.5
39,71.5,71.5
40,71.5,71.5
41,71.5,71.5
42,71.5,71.5
43,70.5,70.5
44,70.6,70.57297297297292
45,70.6,70.59999999999995
46,71.6,71.54594594594589
47,71.6,71.59999999999995
48,71.6,71.59999999999995
49,71.6,71.59999999999995
50,71.6,71.59999999999995
51,71.6,71.59999999999995
52,71.6,71.59999999999995
53,72.2,72.03783783783781
54,72.2,72.19999999999997
55,72.2,72.19999999999997
56,72.2,72.19999999999997
57,72.2,72.19999999999997
58,72.2,72.19999999999997
59,72.2,72.19999999999997
60,72.2,72.19999999999997
61,72.2,72.19999999999997
62,72.2,72.19999999999997
63,72.2,72.19999999999997
64,72.2,72.19999999999997
65,72.2,72.19999999999997
66,72.8,72.63783783783786
67,72.8,72.80000000000003
68,72.8,72.80000000000003
69,72.8,72.17567567567562
70,72.1,72.09999999999995
71,72.1,70.94054054054055
72,70.8,70.80000000000003
73,71.6,71.38378378378373
74,71.6,71.59999999999995
75,69.6,69.59999999999995
76,69.6,69.59999999999995
77,68.6,68.59999999999995
78,69.1,68.96486486486482
79,69.2,69.17297297297296
80,72.2,72.17837837837837
81,72.2,72.19999999999997
82,72.2,72.19999999999997
83,72.2,72.19999999999997
84,72.2,72.19999999999997
85,72.2,72.19999999999997
86,72.3,72.272972972973
87,72.3,72.30000000000003
88,72.3,72.30000000000003
89,72.3,72.30000000000003
90,72.8,72.66486486486488
91,72.8,72.80000000000003
92,71.9,71.87837837837843
93,71.9,71.90000000000005
94,70.9,70.90000000000005
95,70.9,70.90000000000005
96,70.9,70.47837837837838
97,72.3,72.30000000000003
98,72.3,72.30000000000003
99,72.7,72.60810810810808
100,72.7,72.69999999999997
101,72.7,72.69999999999997
102,72.7,72.69999999999997
103,72.7,72.69999999999997
104,72.7,72.69999999999997
105,72.7,72.69999999999997
106,72.7,72.69999999999997
107,72.7,72.69999999999997
108,72.7,72.69999999999997
109,71.7,71.69999999999997
110,71.7,71.69999999999997
111,72.3,72.13783783783786
112,72.3,72.30000000000003
113,72.3,72.30000000000003
114,73.3,73.30000000000003
115,73.4,73.37297297297303
116,73.4,73.40000000000005
117,73.4,73.40000000000005
118,73.4,73.40000000000005
119,73.4,73.40000000000005
120,73.4,73.40000000000005
121,73.5,73.47297297297297
122,73.5,73.5
123,73.5,73.5
124,73.5,73.5
125,73.5,73.5
126,72.5,72.5
127,72.5,72.5
128,71.5,71.5
129,71.5,71.5
130,71.5,71.5
131,71.5,71.5
132,71.5,71.5
133,73.2,73.14594594594593
134,73.4,73.40000000000005
135,73.4,73.40000000000005
136,73.4,73.40000000000005
137,73.4,73.40000000000005
138,73.4,73.40000000000005
139,73.4,73.40000000000005
140,73.4,73.40000000000005
141,73.4,73.40000000000005
142,73.4,73.40000000000005
143,73.5,73.47297297297297
144,73.5,73.5
145,73.5,73.5
146,73.5,73.5
147,73.5,73.5
148,73.5,73.5
149,73.5,73.5
150,73.5,73.5
151,73.5,73.5
152,73.5,72.96486486486491
153,72.9,72.90000000000005
154,72.9,72.90000000000005
155,72.9,72.90000000000005
156,72.9,72.90000000000005
157,72.9,72.90000000000005
158,72.9,72.90000000000005
159,72.9,72.90000000000005
160,72.9,72.90000000000005
161,72.9,72.90000000000005
162,71.9,71.90000000000005
163,71.9,71.90000000000005
164,69.9,69.90000000000005
165,69.9,69.90000000000005
166,69.9,69.90000000000005
167,72.7,72.64594594594593
168,72.9,72.90000000000005
169,72.9,72.90000000000005
170,72.9,72.90000000000005
171,72.9,72.90000000000005
172,72.9,72.90000000000005
173,72.9,72.90000000000005
174,72.9,72.90000000000005
175,72.9,72.90000000000005
176,72.9,72.90000000000005
177,72.9,72.90000000000005
178,72.9,72.90000000000005
179,70.9,70.90000000000005
180,70.9,70.90000000000005
181,69.9,69.90000000000005
182,69.9,69.90000000000005
183,69.9,69.90000000000005
184,72.6,72.59999999999995
185,72.9,72.90000000000005
186,72.9,72.90000000000005
187,72.9,72.90000000000005
188,72.9,72.90000000000005
189,72.9,72.90000000000005
190,73.1,73.04594594594589
191,73.1,73.09999999999995
192,73.1,73.09999999999995
193,73.1,73.09999999999995
194,73.1,73.09999999999995
195,73.1,73.09999999999995
196,72.1,72.09999999999995
197,72.1,72.09999999999995
198,71.1,71.06216216216212
199,70.4,70.31081081081082
200,70.3,70.30000000000001
201,72.3,72.24594594594596
202,72.3,72.30000000000003
203,72.7,72.59189189189188
204,72.7,72.69999999999997
205,72.7,72.69999999999997
206,72.7,72.69999999999997
207,72.8,72.772972972973
208,72.8,72.80000000000003
209,72.8,72.80000000000003
210,72.8,72.80000000000003
211,73.0,72.94594594594595
212,73.1,73.07837837837833
213,73.1,73.09999999999995
214,73.1,73.09999999999995
215,71.1,71.09999999999995
216,71.1,71.09999999999995
217,71.1,71.09999999999995
218,73.1,73.01891891891887
219,73.1,73.09999999999995
220,73.1,73.09999999999995
221,73.1,73.09999999999995
222,73.1,73.09999999999995
223,73.1,73.09999999999995
224,73.1,73.09999999999995
225,73.1,73.09999999999995
226,73.1,73.09999999999995
227,73.1,73.09999999999995
228,73.1,73.09999999999995
229,73.1,73.09999999999995
230,72.1,72.09999999999995
231,72.1,72.09999999999995
232,70.1,70.09999999999995
233,70.1,70.09999999999995
234,70.1,70.09999999999995
235,73.1,73.0567567567567
236,73.1,73.09999999999995
237,73.1,73.09999999999995
238,73.1,73.09999999999995
239,73.1,73.09999999999995
240,73.1,73.09999999999995
241,73.1,73.09999999999995
242,73.1,73.09999999999995
243,73.1,73.09999999999995
244,73.1,73.09999999999995
245,73.1,73.09999999999995
246,73.1,73.09999999999995
247,73.1,73.09999999999995
248,73.1,73.09999999999995
249,71.1,71.09999999999995
250,71.1,71.09999999999995
251,71.1,71.09999999999995
252,73.1,73.07837837837833
253,73.1,73.09999999999995
254,73.1,73.09999999999995
255,73.1,73.09999999999995
256,73.1,73.09999999999995
