grid,peak,average
1,83.9,80.68648648648654
2,113.0,110.68918918918921
3,119.1,116.86486486486481
4,127.1,125.86216216216215
5,128.1,128.1
6,134.5,132.93243243243242
7,134.5,134.5
8,134.5,134.5
9,134.5,134.5
10,134.8,133.39459459459468
11,132.8,132.8000000000001
12,134.8,134.8000000000001
13,134.8,134.8000000000001
14,134.8,134.8000000000001
15,134.9,134.89999999999998
16,134.9,134.89999999999998
17,135.4,134.03783783783786
18,131.6,131.6
19,131.6,131.6
20,131.8,131.718918918919
21,133.8,133.8000000000001
22,133.8,133.8000000000001
23,133.8,133.8000000000001
24,133.8,133.8000000000001
25,134.6,134.3837837837838
26,135.4,135.22702702702702
27,135.6,135.60000000000002
28,136.9,136.55405405405403
29,136.9,136.89999999999998
30,137.0,136.97297297297297
31,137.0,137.0
32,137.0,137.0
33,137.0,137.0
34,137.0,137.0
35,137.0,137.0
36,137.0,137.0
37,137.0,137.0
38,137.0,137.0
39,137.0,137.0
40,137.0,137.0
41,137.0,131.07297297297288
42,132.6,132.0864864864865
43,134.1,133.7756756756757
44,134.1,134.10000000000002
45,134.1,134.10000000000002
46,136.4,135.87567567567567
47,136.4,136.39999999999998
48,136.4,136.39999999999998
49,136.4,136.39999999999998
50,136.4,136.39999999999998
51,136.4,136.39999999999998
52,136.4,136.39999999999998
53,136.4,136.39999999999998
54,136.4,135.90270270270267
55,127.2,121.28648648648647
56,121.1,120.99189189189187
57,122.6,122.19459459459456
58,126.5,125.44864864864866
59,129.1,128.42432432432432
60,130.2,129.9621621621621
61,131.3,131.06216216216225
62,133.8,133.25945945945955
63,133.8,133.8000000000001
64,133.8,133.8000000000001
65,134.3,134.17027027027038
66,134.4,134.37297297297295
67,134.4,134.04324324324324
68,134.0,134.0
69,134.0,134.0
70,134.1,134.072972972973
71,134.1,134.10000000000002
72,136.8,135.95675675675682
73,135.2,135.1999999999999
74,135.2,135.1999999999999
75,135.2,135.1999999999999
76,135.2,135.1999999999999
77,135.2,135.1999999999999
78,135.5,135.42432432432432
79,136.5,136.22972972972974
80,136.8,136.74594594594603
81,136.8,136.8000000000001
82,136.8,136.8000000000001
83,136.8,136.8000000000001
84,136.8,136.8000000000001
85,137.2,137.09189189189178
86,137.2,137.1999999999999
87,137.2,137.1999999999999
88,137.2,137.1999999999999
89,137.2,135.95135135135143
90,136.9,136.60270270270266
91,136.9,136.89999999999998
92,136.9,136.89999999999998
93,137.0,136.95945945945945
94,137.1,137.072972972973
95,137.1,137.10000000000002
96,137.1,137.10000000000002
97,137.5,137.4081081081081
98,137.5,137.5
99,137.5,137.5
100,137.5,137.5
101,137.5,136.96486486486484
102,136.9,136.89999999999998
103,137.1,137.045945945946
104,137.1,137.10000000000002
105,137.1,137.10000000000002
106,137.1,136.24324324324314
107,136.2,136.1999999999999
108,136.2,133.5459459459459
109,133.5,133.47837837837838
110,135.6,135.03243243243244
111,136.9,136.61351351351348
112,136.9,136.89999999999998
113,137.0,136.97297297297297
114,137.0,137.0
115,137.0,137.0
116,137.0,137.0
117,137.0,137.0
118,137.0,137.0
119,137.0,137.0
120,137.0,137.0
121,137.0,137.0
122,137.0,137.0
123,137.0,137.0
124,137.0,137.0
125,137.7,137.5108108108107
126,137.7,137.6999999999999
127,137.7,137.6999999999999
128,137.7,137.6999999999999
129,138.1,138.10000000000002
130,138.1,125.91351351351352
131,127.0,126.42702702702704
132,127.5,127.39189189189189
133,128.2,128.01081081081074
134,129.4,129.14054054054054
135,129.4,129.4
136,129.4,129.4
137,129.4,129.4
138,129.4,129.4
139,129.4,129.4
140,129.4,125.15135135135137
141,127.3,126.71081081081088
142,129.0,128.55135135135134
143,129.0,129.0
144,132.6,131.62702702702703
145,132.9,132.83513513513512
146,132.9,132.89999999999998
147,132.9,132.89999999999998
148,135.5,134.81351351351353
149,135.8,135.718918918919
150,135.8,135.8000000000001
151,135.8,135.8000000000001
152,135.8,135.8000000000001
153,135.8,135.8000000000001
154,135.8,135.8000000000001
155,135.8,135.8000000000001
156,135.8,135.8000000000001
157,135.8,135.8000000000001
158,135.8,135.8000000000001
159,135.8,135.8000000000001
160,135.8,135.8000000000001
161,135.8,135.8000000000001
162,135.8,135.8000000000001
163,135.8,135.8000000000001
164,135.8,135.8000000000001
165,135.8,135.8000000000001
166,135.8,135.8000000000001
167,135.8,135.8000000000001
168,135.8,135.8000000000001
169,135.9,135.87297297297295
170,135.9,135.89999999999998
171,135.9,135.89999999999998
172,135.9,135.89999999999998
173,136.0,135.97837837837838
174,137.4,137.0216216216216
175,137.4,137.39999999999998
176,138.0,137.87027027027025
177,138.0,138.0
178,138.2,138.1999999999999
179,137.2,137.1999999999999
180,137.2,136.5891891891892
181,135.5,135.14864864864865
182,136.8,136.5135135135136
183,136.8,120.40000000000003
184,120.6,119.65945945945943
185,118.9,117.66756756756762
186,116.0,115.48648648648648
187,116.3,111.9783783783783
188,122.7,120.71621621621611
189,125.1,124.45135135135135
190,126.1,125.78918918918919
191,126.5,126.39189189189189
192,126.6,121.71891891891887
193,110.0,109.3270270270271
194,110.3,109.47297297297305
195,114.3,113.31081081081088
196,114.5,114.47837837837838
197,114.6,114.59999999999995
198,115.5,112.04324324324321
199,111.5,49.854054054054004
200,96.6,95.54594594594595
201,99.8,99.08378378378387
202,102.4,101.72432432432439
203,107.8,106.74054054054062
204,109.5,109.04594594594595
205,109.9,109.8594594594595
206,112.2,107.89189189189187
207,107.0,105.52972972972972
208,108.4,108.03783783783788
209,112.0,111.02702702702703
210,113.6,113.26486486486482
211,116.1,114.154054054054
212,114.2,70.35405405405407
213,101.7,100.24594594594588
214,106.3,106.15675675675682
215,113.5,111.72702702702702
216,114.6,114.40540540540536
217,114.6,114.59999999999995
218,114.7,114.67837837837828
219,114.7,114.69999999999992
220,116.0,107.95675675675669
221,103.0,102.43783783783783
222,107.5,106.36486486486487
223,110.0,109.32432432432432
224,111.8,111.44864864864873
225,112.7,112.50540540540533
226,112.7,112.69999999999995
227,112.7,112.69999999999995
228,112.7,112.69999999999995
229,113.3,113.13783783783792
