grid_number,runtime
1,2.413182
2,1.8346419999999997
3,1.848617
4,1.8101980000000015
5,1.837828
6,1.8258679999999998
7,1.8257349999999999
8,1.8817309999999985
9,1.7979589999999988
10,1.8591479999999976
11,1.816034000000002
12,1.832381999999999
13,1.8390580000000014
14,1.8639939999999982
15,1.8461050000000014
16,1.800887000000003
17,1.8344409999999982
18,1.8671369999999996
19,1.8441739999999953
20,1.848485999999994
21,1.8746340000000004
22,1.8403129999999948
23,1.811160000000001
24,1.8172950000000014
25,1.8219060000000056
26,1.8319529999999986
27,1.8136289999999988
28,1.8361220000000031
29,1.8271939999999987
30,1.8390880000000038
31,1.830368
32,1.8302869999999984
33,1.8180530000000061
34,1.8469829999999945
35,1.8243750000000034
36,1.875783999999996
37,1.821162000000001
38,1.8176759999999916
39,1.830179000000001
40,1.8363290000000063
41,1.880182000000005
42,1.8393219999999957
43,1.8156959999999884
44,1.8205050000000114
45,1.8514530000000065
46,1.8382019999999955
47,1.8161790000000053
48,1.8190259999999938
49,1.8425259999999923
50,1.832376999999994
