grid_number,runtime
1,1.488369
2,1.1572870000000002
3,1.807658
4,1.1452190000000009
5,1.1932929999999988
6,0.8087649999999993
7,1.4415890000000005
8,1.3908039999999993
9,1.042918000000002
10,1.0038620000000016
11,0.918212999999998
12,1.2533519999999996
13,1.1496230000000018
14,1.6991000000000014
15,1.0280559999999994
16,1.3545610000000003
17,1.2381689999999992
18,1.5520540000000018
19,1.5265109999999993
20,1.514406000000001
21,1.3024999999999949
22,1.562925
23,1.129883999999997
24,1.7409019999999984
25,1.6772119999999973
26,1.252763999999999
27,1.3171699999999973
28,1.0004689999999954
29,1.3852210000000014
30,0.9697469999999981
31,1.242918000000003
32,1.7198419999999999
33,1.551351000000004
34,1.2314009999999982
35,1.0670760000000001
36,1.6862369999999984
37,1.714094000000003
38,1.735233000000008
39,1.5168450000000036
40,0.8483650000000011
41,1.109421999999995
42,0.7819449999999932
43,1.5102929999999901
44,0.8275059999999996
45,1.2698999999999927
46,1.3854269999999929
47,1.6285670000000039
48,1.6517619999999908
49,1.2035099999999943
50,0.9379529999999932
