grid,peak,average
1,77.8,69.99677419354839
2,94.2,84.84516129032257
3,102.0,91.3
4,102.0,83.47096774193545
5,101.8,91.54838709677422
6,104.7,93.3
7,98.9,83.86129032258066
8,96.8,48.33548387096776
9,87.0,42.20645161290322
10,86.3,54.54193548387096
11,85.7,68.1
12,92.9,78.63870967741936
13,91.6,77.66451612903226
14,90.6,76.39999999999998
15,89.6,74.16451612903225
16,89.4,80.8935483870968
17,87.3,71.30322580645164
18,91.5,77.5064516129032
19,86.0,76.1225806451613
20,86.0,68.43548387096777
21,91.9,55.76774193548389
22,91.6,75.46129032258061
23,90.3,44.82258064516127
24,88.8,74.96774193548384
25,94.2,79.7967741935484
26,87.1,68.75483870967739
27,90.8,80.4258064516129
28,87.0,73.71612903225805
29,94.4,80.26774193548391
30,95.3,85.69032258064517
31,93.5,78.00967741935486
32,92.8,83.21935483870968
33,94.3,79.84838709677422
34,87.9,76.17741935483873
35,92.1,81.35806451612902
36,91.7,82.48064516129034
37,88.5,75.83548387096779
38,95.0,80.49354838709678
39,93.9,84.18387096774198
40,96.4,85.41290322580649
41,91.3,79.03548387096777
42,91.4,82.0741935483871
43,90.2,81.45806451612903
44,89.9,80.25161290322579
45,92.1,82.8064516129032
46,99.3,88.02258064516131
47,96.2,87.07419354838706
48,96.7,95.16774193548387
49,97.9,88.83870967741939
50,92.9,83.82580645161295
