grid,peak,average
1,70.0,57.02903225806454
2,99.3,86.99032258064517
3,101.6,99.76774193548381
4,103.8,100.0032258064516
5,106.7,93.13548387096773
6,103.7,88.68709677419352
7,103.0,91.3967741935484
8,102.4,89.12903225806454
9,100.2,84.39032258064516
10,96.3,82.51612903225805
11,95.1,82.74516129032257
12,106.7,103.13548387096776
13,107.3,90.5903225806451
14,101.9,87.24516129032257
15,98.7,83.9
16,98.2,82.0290322580645
17,87.4,46.548387096774185
18,86.6,51.793548387096756
19,86.7,36.658064516129016
20,86.2,72.87741935483871
21,94.5,79.89032258064516
22,90.6,77.41612903225807
23,93.5,70.93548387096772
24,86.1,71.88709677419354
25,89.2,77.23870967741941
26,91.4,74.68387096774195
27,85.7,44.69032258064517
28,87.6,74.16451612903222
29,89.0,72.66774193548386
30,94.6,80.14516129032253
31,92.0,79.09354838709677
32,92.5,90.12903225806457
33,96.9,81.23225806451613
34,94.3,76.7967741935484
35,85.1,65.38064516129035
36,86.8,84.81612903225803
37,89.8,79.6483870967742
38,96.9,77.35161290322579
39,91.3,74.51290322580641
40,89.4,43.58709677419354
41,89.3,46.57741935483869
42,94.1,92.42903225806448
43,94.6,81.27096774193544
44,88.1,72.37419354838711
45,86.2,46.66129032258066
46,85.5,74.72258064516127
47,96.0,82.23225806451612
48,95.4,91.63548387096776
49,93.9,79.39354838709681
50,92.2,89.11935483870964
