grid,peak,average
1,74.1,67.17419354838707
2,98.0,87.12258064516128
3,99.3,86.97419354838712
4,99.2,82.79677419354843
5,103.4,86.84193548387094
6,102.1,92.28387096774192
7,101.2,88.60322580645155
8,98.5,84.6
9,96.9,80.24193548387095
10,84.8,42.66451612903228
11,86.3,73.09999999999997
12,92.7,45.44516129032261
13,91.5,77.03870967741936
14,92.5,73.19354838709675
15,89.6,76.32580645161295
16,89.9,53.83548387096774
17,90.4,74.80000000000001
18,85.6,71.06774193548385
19,90.2,79.29677419354836
20,88.0,73.60645161290321
21,92.1,78.39032258064512
22,91.8,54.96129032258062
23,89.5,42.19354838709679
24,88.8,50.30967741935481
25,89.1,74.89677419354841
26,86.7,70.74516129032256
27,91.0,77.15483870967739
28,91.5,78.67741935483868
29,95.9,81.82903225806453
30,93.9,83.18387096774197
31,92.8,81.96451612903228
32,91.9,74.18064516129033
33,89.3,76.64838709677419
34,90.6,80.63225806451608
35,89.1,78.23548387096778
36,92.0,76.5516129032258
37,85.5,47.40000000000001
38,96.5,91.14193548387098
39,96.0,86.27419354838709
40,93.5,80.15806451612903
41,89.3,75.94516129032259
42,93.3,83.57419354838713
43,91.1,81.23548387096771
44,94.3,83.38709677419357
45,90.7,81.3258064516129
46,97.2,83.74838709677418
47,96.0,80.07741935483868
48,94.8,84.18064516129031
49,95.9,85.65806451612904
50,93.2,83.52258064516127
