grid,peak,average
1,73.2,66.71290322580646
2,97.0,85.55161290322577
3,94.1,85.20645161290321
4,104.5,93.79677419354836
5,100.8,86.64193548387097
6,99.4,83.03870967741935
7,89.4,43.641935483870945
8,87.9,72.06129032258067
9,86.6,75.51290322580647
10,88.0,77.49354838709678
11,85.9,68.37096774193547
12,95.1,80.91935483870964
13,91.4,45.867741935483856
14,91.0,77.34193548387098
15,91.6,79.09677419354836
16,89.1,72.18709677419355
17,87.1,76.11290322580642
18,87.7,78.55806451612902
19,84.1,36.56451612903224
20,86.7,73.77419354838709
21,91.9,79.39999999999999
22,91.0,79.88387096774194
23,90.1,50.493548387096745
24,87.1,43.58064516129032
25,93.4,82.16129032258068
26,91.9,77.54838709677423
27,86.7,76.63548387096775
28,91.1,81.3741935483871
29,94.0,83.60967741935482
30,96.0,83.74193548387095
31,89.1,44.45806451612903
32,92.4,84.01935483870969
33,95.7,84.55806451612904
34,92.5,79.59354838709675
35,91.3,82.42903225806452
36,92.2,81.55161290322582
37,91.1,81.81935483870964
38,94.5,85.62903225806453
39,93.0,79.02903225806449
40,95.6,85.27419354838705
41,94.8,91.94193548387099
42,94.0,83.99677419354842
43,91.6,84.95161290322578
44,93.5,91.9258064516129
45,94.2,85.74516129032261
46,97.0,87.6
47,99.1,87.08064516129026
48,96.2,93.01290322580643
49,96.4,95.3935483870968
50,97.9,97.49354838709682
