grid_number,runtime
1,1.08883
2,0.34445099999999984
3,0.18990399999999985
4,0.29101900000000036
5,0.3726320000000003
6,0.26713900000000024
7,0.24677900000000008
8,0.33181700000000003
9,0.40939499999999995
10,0.4365819999999996
11,0.30515699999999946
12,0.1762940000000004
13,0.2326100000000002
14,0.27883000000000013
15,0.3713449999999998
16,0.2997890000000005
17,0.3812300000000004
18,0.41856399999999994
19,0.17900500000000008
20,0.3323330000000002
21,0.30201800000000034
22,0.29908600000000085
23,0.23276700000000083
24,0.1736039999999992
25,0.31237899999999996
26,0.42234300000000147
27,0.41243500000000033
28,0.2419380000000011
29,0.401072000000001
30,0.3628140000000002
31,0.4030470000000008
32,0.18682500000000068
33,0.18833199999999906
34,0.19433700000000087
35,0.3535559999999993
36,0.18158099999999777
37,0.1720809999999986
38,0.3567370000000025
39,0.20062300000000022
40,0.34915300000000116
41,0.3654299999999999
42,0.18235200000000162
43,0.23895600000000172
44,0.17458799999999997
45,0.23726199999999764
46,0.2564019999999978
47,0.3466950000000004
48,0.18957699999999988
49,0.30017700000000147
50,0.19036900000000045
