grid_number,runtime
1,0.8109220000000001
2,0.17095700000000003
3,0.18250400000000022
4,0.17281099999999983
5,0.17741399999999974
6,0.1784300000000001
7,0.18508800000000036
8,0.17149199999999976
9,0.17264200000000063
10,0.1710630000000002
11,0.17063899999999954
12,0.18276100000000017
13,0.1716040000000003
14,0.18068099999999987
15,0.17043300000000006
16,0.17369199999999996
17,0.1719210000000002
18,0.18077500000000057
19,0.18261299999999991
20,0.18962000000000057
21,0.172879
22,0.17305700000000002
23,0.18530500000000139
24,0.18057300000000076
25,0.1835330000000006
26,0.17313199999999895
27,0.17678400000000138
28,0.17944899999999997
29,0.17345900000000114
30,0.18887999999999927
31,0.17683800000000005
32,0.19008600000000087
33,0.1744179999999993
34,0.17552700000000065
35,0.17530800000000113
36,0.19998600000000089
37,0.1760919999999988
38,0.17466899999999974
39,0.18732300000000102
40,0.1873970000000007
41,0.18593100000000007
42,0.1783210000000004
43,0.1751429999999985
44,0.1850550000000002
45,0.18707400000000085
46,0.18392499999999856
47,0.18373500000000043
48,0.1749400000000012
49,0.18641799999999975
50,0.1733430000000009
