grid_number,runtime
1,2.9600510000000004
2,3.0632790000000005
3,3.866733
4,2.9729530000000004
5,3.649370000000001
6,3.019350000000003
7,2.9565729999999952
8,3.0929649999999995
9,2.9362970000000033
10,3.0374279999999985
11,3.6254650000000055
12,3.0805909999999983
13,2.9361010000000007
14,2.842101999999997
15,2.953220999999999
16,2.9943329999999975
17,3.760085999999987
18,2.9631399999999957
19,2.9685439999999943
20,3.090656999999993
21,3.752392999999998
22,3.0029770000000013
23,3.722713000000013
24,2.968305000000001
25,3.7624580000000094
26,3.161699999999996
27,2.9415089999999964
28,2.9426699999999926
29,2.8286640000000034
30,3.1548250000000166
31,2.963603000000006
32,2.940402000000006
33,2.9546849999999836
34,2.9346669999999904
35,3.729506000000015
36,2.847820000000013
37,2.9409449999999993
38,2.976607999999999
39,3.7303719999999885
40,3.0261639999999943
41,3.7777440000000126
42,3.1187960000000032
43,2.9705020000000104
44,2.9750329999999963
45,3.7862130000000036
46,2.9667840000000183
47,3.8398540000000025
48,2.9609370000000013
49,3.7548459999999864
50,3.0247059999999806
